epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1778.91,1.54582,0.68972,1.60638,0.94334,0.94867,0.96803,0.56746,1.59895,0.61548,1.81105,0.000137113,0.000137113,0.000137113
85,1800.19,1.53101,0.68292,1.59535,0.95007,0.9468,0.9692,0.57215,1.58949,0.60941,1.80716,0.0001295,0.0001295,0.0001295
86,1822.01,1.5438,0.68878,1.59655,0.94704,0.9532,0.97026,0.57226,1.58212,0.61359,1.8039,0.000121887,0.000121887,0.000121887
87,1843.52,1.53666,0.68635,1.60052,0.94635,0.94389,0.9688,0.5703,1.59421,0.61565,1.80659,0.000114273,0.000114273,0.000114273
88,1864.84,1.53262,0.68516,1.59319,0.95083,0.94968,0.97116,0.57149,1.58825,0.61242,1.80281,0.00010666,0.00010666,0.00010666
89,1886.14,1.53772,0.68473,1.59563,0.94188,0.95264,0.96947,0.57095,1.58677,0.60859,1.80296,9.90472e-05,9.90472e-05,9.90472e-05
90,1907.63,1.52432,0.67924,1.58932,0.94804,0.94922,0.96963,0.56899,1.59041,0.61098,1.80559,9.14341e-05,9.14341e-05,9.14341e-05
91,1945.24,1.53753,0.66141,1.71528,0.94642,0.94951,0.9697,0.56952,1.59212,0.61169,1.81025,8.3821e-05,8.3821e-05,8.3821e-05
92,1965.26,1.51265,0.63894,1.68358,0.9471,0.95539,0.97155,0.57102,1.59092,0.61483,1.80749,7.62079e-05,7.62079e-05,7.62079e-05
93,1985.21,1.51074,0.63821,1.69776,0.9486,0.95009,0.97048,0.5728,1.58342,0.61066,1.80079,6.85948e-05,6.85948e-05,6.85948e-05
94,2005.27,1.50868,0.63163,1.68391,0.94479,0.95493,0.97163,0.57493,1.58324,0.6097,1.79952,6.09817e-05,6.09817e-05,6.09817e-05
95,2025.31,1.50455,0.63383,1.69137,0.95128,0.95242,0.97222,0.57556,1.58529,0.60288,1.8017,5.33686e-05,5.33686e-05,5.33686e-05
96,2045.32,1.49517,0.62472,1.67798,0.94217,0.95616,0.97119,0.57707,1.5813,0.60483,1.79989,4.57555e-05,4.57555e-05,4.57555e-05
97,2065.64,1.49796,0.62594,1.6778,0.94585,0.95136,0.96969,0.57547,1.5809,0.60418,1.80015,3.81424e-05,3.81424e-05,3.81424e-05
98,2086.66,1.49611,0.62661,1.68621,0.94724,0.94914,0.97169,0.5778,1.57868,0.60052,1.79694,3.05293e-05,3.05293e-05,3.05293e-05
99,2106.84,1.49424,0.62342,1.67668,0.94365,0.95206,0.97013,0.57748,1.57745,0.60234,1.7965,2.29162e-05,2.29162e-05,2.29162e-05
100,2126.94,1.48461,0.622,1.66371,0.9472,0.95125,0.9704,0.57926,1.57548,0.60047,1.79496,1.53031e-05,1.53031e-05,1.53031e-05
